,ball skills,physical,postions_Player,defence,mental,shooting,passing,hight,wight,age,value
Lionel Messi,96.0,80.85714285714286,ST,27.5,77.0,86.875,89.0,170,72,34,78000000
Robert Lewandowski,86.5,80.28571428571429,ST,38.5,81.16666666666667,88.125,75.33333333333333,185,81,33,119500000
Kylian Mbappé,92.0,87.42857142857143,ST,30.0,75.83333333333333,80.5,78.0,182,73,22,194000000
Cristiano Ronaldo,88.0,83.0,ST,28.0,75.33333333333333,88.875,81.33333333333333,187,83,36,45000000
Harry Kane,84.0,75.28571428571429,ST,43.0,81.33333333333333,85.5,83.66666666666667,188,89,28,129500000
Erling Haaland,81.5,81.71428571428571,ST,43.5,76.66666666666667,80.875,58.333333333333336,194,94,21,137500000
Romelu Lukaku,80.0,74.14285714285714,ST,35.5,73.16666666666667,81.75,73.33333333333333,191,94,28,93500000
Luis Suárez,84.5,75.71428571428571,ST,43.5,80.33333333333333,86.875,80.0,182,83,34,44500000
Ciro Immobile,81.5,81.0,ST,33.5,74.66666666666667,79.0,62.666666666666664,185,85,31,67500000
Sergio Agüero,87.0,75.57142857142857,ST,29.5,73.33333333333333,82.5,71.33333333333333,173,70,33,51000000
Marcos Llorente,83.0,80.71428571428571,ST,79.5,84.5,71.25,81.0,184,74,26,88000000
Jamie Vardy,80.0,77.71428571428571,ST,48.5,80.5,77.5,67.66666666666667,179,74,34,33000000
Gerard Moreno,85.5,76.42857142857143,ST,42.5,72.5,80.0,77.66666666666667,180,77,29,68000000
Marcus Rashford,85.0,81.85714285714286,ST,41.5,73.83333333333333,80.0,77.0,186,70,23,77500000
Lautaro Martínez,84.0,85.14285714285714,ST,43.0,78.33333333333333,76.125,69.0,174,72,24,78000000
Antoine Griezmann,87.0,82.0,ST,48.5,79.16666666666667,83.5,83.0,176,73,30,53000000
Pierre-Emerick Aubameyang,80.0,78.57142857142857,ST,24.5,71.83333333333333,80.625,72.33333333333333,187,80,32,43500000
Edinson Cavani,77.5,71.85714285714286,ST,46.5,79.66666666666667,82.75,65.0,185,77,34,26000000
André Silva,84.5,77.57142857142857,ST,38.0,77.5,77.125,67.33333333333333,185,84,25,51000000
Nabil Fekir,87.5,80.57142857142857,ST,38.0,74.33333333333333,76.625,80.33333333333333,173,75,28,45000000
Timo Werner,83.0,80.42857142857143,ST,29.5,70.33333333333333,76.125,67.66666666666667,180,76,25,56500000
D. Rolan Carrasco,86.5,78.42857142857143,ST,45.5,70.66666666666667,76.5,77.66666666666667,185,73,28,45000000
Josip Iličić,88.0,68.42857142857143,ST,36.5,72.66666666666667,81.125,81.66666666666667,190,79,33,27000000
