,ball skills,physical,postions_Player,defence,mental,shooting,passing,hight,wight,age,value
Virgil van Dijk,73.0,74.14285714285714,CB,92.0,77.0,65.125,72.66666666666667,193,92,30,86000000
Sergio Ramos,74.0,76.85714285714286,CB,86.5,83.5,76.375,77.0,184,82,35,24000000
Rúben Dias,69.0,70.14285714285714,CB,89.5,72.5,47.875,69.66666666666667,187,82,24,102500000
Frenkie de Jong,88.5,81.28571428571429,CB,76.0,83.0,67.625,85.33333333333333,180,74,24,119500000
Marquinhos,74.0,78.71428571428571,CB,89.0,80.66666666666667,53.25,79.0,183,75,27,90500000
Milan Škriniar,69.5,74.14285714285714,CB,89.0,69.83333333333333,45.375,53.666666666666664,188,80,26,74000000
Aymeric Laporte,70.5,68.42857142857143,CB,86.5,76.33333333333333,57.25,73.33333333333333,191,85,27,77000000
Fabinho,79.5,72.14285714285714,CB,86.5,81.16666666666667,68.75,80.33333333333333,188,78,27,73500000
Raphaël Varane,66.5,72.57142857142857,CB,87.0,74.33333333333333,52.5,65.33333333333333,191,81,28,68500000
Kalidou Koulibaly,66.5,70.28571428571429,CB,89.0,70.0,34.875,52.0,187,89,30,55500000
Mats Hummels,74.0,65.14285714285714,CB,90.0,79.0,64.125,77.66666666666667,191,96,32,44000000
Giorgio Chiellini,57.0,71.28571428571429,CB,91.0,69.66666666666667,52.875,65.0,187,85,37,12000000
Matthijs de Ligt,69.0,75.57142857142857,CB,84.5,69.83333333333333,58.875,63.333333333333336,189,89,22,75000000
Stefan de Vrij,70.5,71.57142857142857,CB,88.0,72.5,45.375,65.0,189,78,29,45000000
Leonardo Bonucci,74.0,68.71428571428571,CB,86.5,74.16666666666667,64.25,68.66666666666667,190,85,34,17500000
Thiago Silva,73.0,68.14285714285714,CB,86.5,77.0,62.625,73.33333333333333,183,79,37,9500000
José María Giménez,60.0,67.28571428571429,CB,87.0,66.0,48.5,61.333333333333336,185,79,26,52000000
Felipe,60.5,69.28571428571429,CB,85.5,69.0,45.25,62.333333333333336,190,84,32,27500000
Matthias Ginter,68.0,66.14285714285714,CB,88.0,73.66666666666667,58.125,75.0,191,86,27,42500000
Stefan Savić,57.0,64.71428571428571,CB,88.0,70.0,39.75,60.0,187,80,30,34500000
Harry Maguire,73.5,64.0,CB,85.0,78.33333333333333,55.875,71.0,194,100,28,42500000
Simon Kjær,60.0,67.42857142857143,CB,86.0,66.83333333333333,59.25,66.0,190,86,32,23500000
Piqué,71.5,61.285714285714285,CB,85.5,79.0,61.125,72.33333333333333,194,85,34,13500000
Jules Koundé,71.5,78.57142857142857,CB,85.0,72.83333333333333,44.625,66.66666666666667,181,75,22,53000000
Presnel Kimpembe,70.5,76.71428571428571,CB,83.5,74.16666666666667,48.75,71.33333333333333,189,80,26,45500000
Lucas Hernández,70.5,75.85714285714286,CB,85.0,76.16666666666667,54.25,71.66666666666667,184,79,25,44500000
Niklas Süle,52.5,55.285714285714285,CB,83.5,67.0,46.0,60.333333333333336,195,99,26,40500000
Antonio Rüdiger,64.5,70.71428571428571,CB,85.5,70.83333333333333,49.25,72.33333333333333,190,85,28,34500000
John Stones,77.5,71.14285714285714,CB,84.5,74.0,52.5,73.33333333333333,188,76,27,41000000
Francesco Acerbi,68.5,62.142857142857146,CB,87.0,69.66666666666667,60.375,59.666666666666664,192,88,33,17500000
Kostas Manolas,60.0,76.28571428571429,CB,85.0,63.833333333333336,29.875,51.0,189,83,30,30000000
Azpilicueta,72.5,71.71428571428571,CB,85.0,78.16666666666667,61.75,79.66666666666667,178,77,32,25000000
Toby Alderweireld,68.5,66.42857142857143,CB,87.0,74.83333333333333,60.0,74.0,186,81,32,
Jérôme Boateng,67.5,67.28571428571429,CB,84.0,76.66666666666667,54.375,76.33333333333333,190,94,33,23500000
Simon Kjær,60.0,67.42857142857143,CB,86.0,66.83333333333333,59.25,66.0,190,86,32,23500000
Fernandinho,78.5,70.0,CB,86.0,79.0,70.75,77.33333333333333,179,67,36,7000000
Pau Torres,71.5,71.71428571428571,CB,84.0,70.5,45.875,70.33333333333333,191,80,24,56500000
Éder Militão,71.5,78.28571428571429,CB,83.0,74.33333333333333,53.375,73.0,186,78,23,56500000
Cristian Romero,59.0,77.71428571428571,CB,83.5,68.33333333333333,49.125,52.333333333333336,185,79,23,41500000
Josué Chiamulera,63.0,73.57142857142857,CB,86.0,68.0,51.125,58.333333333333336,185,80,29,25500000
Dayot Upamecano,69.0,75.14285714285714,CB,81.0,68.83333333333333,43.375,65.33333333333333,186,90,22,64000000
Joe Gomez,70.0,73.42857142857143,CB,83.5,72.0,35.875,70.66666666666667,188,77,24,43500000
Diego Carlos,68.0,73.85714285714286,CB,81.0,73.5,54.25,61.666666666666664,185,86,28,30500000
Niklas Süle,52.5,55.285714285714285,CB,83.5,67.0,46.0,60.333333333333336,195,99,26,40500000
Alessio Romagnoli,70.0,67.28571428571429,CB,86.5,67.0,42.5,60.333333333333336,185,75,26,31500000
Emre Can,80.5,80.28571428571429,CB,84.0,81.16666666666667,74.5,78.33333333333333,186,86,27,35000000
Gabriel Paulista,64.5,73.28571428571429,CB,83.0,73.33333333333333,54.5,73.66666666666667,185,72,30,25000000
Daley Blind,80.5,65.57142857142857,CB,83.5,78.33333333333333,67.5,82.33333333333333,180,72,31,21000000
Raúl Albiol,65.0,55.857142857142854,CB,88.0,69.66666666666667,48.5,61.333333333333336,190,82,36,8000000
Pepe,59.0,52.42857142857143,CB,84.0,57.166666666666664,52.125,64.66666666666667,188,80,38,5500000
Edmond Tapsoba,69.0,73.57142857142857,CB,83.0,70.0,53.5,66.66666666666667,194,85,22,48500000
Juiano Mestres,62.0,73.14285714285714,CB,81.0,70.66666666666667,66.125,55.0,181,82,25,25000000
Nordi Mukiele,73.5,77.0,CB,83.5,73.33333333333333,52.375,72.33333333333333,187,84,23,34500000
Kalvin Phillips,36.5,53.285714285714285,CB,41.0,38.0,47.875,50.666666666666664,178,72,25,32500000
Clément Lenglet,66.0,72.14285714285714,CB,82.0,73.66666666666667,50.0,69.0,186,81,26,37500000
Dakonam Djené,60.5,72.14285714285714,CB,83.5,69.83333333333333,45.25,68.0,178,72,29,24000000
Andreas Christensen,0.0,35.57142857142857,CB,42.0,15.666666666666666,38.375,42.666666666666664,188,81,25,
Willi Orban,54.5,63.857142857142854,CB,85.0,65.66666666666667,40.125,55.333333333333336,186,87,28,24500000
Iñigo Martínez,64.0,73.0,CB,81.0,69.83333333333333,59.0,69.66666666666667,182,77,30,21000000
Kurt Suf,57.0,69.0,CB,81.5,70.0,58.5,63.0,190,95,26,30000000
James Tarkowski,66.0,65.71428571428571,CB,82.0,72.0,52.875,68.66666666666667,188,81,28,24500000
Nacho Fernández,70.0,76.71428571428571,CB,81.5,67.33333333333333,46.0,69.66666666666667,180,76,31,17500000
Danilo,76.0,71.85714285714286,CB,83.0,75.5,71.25,75.66666666666667,184,78,30,22500000
Nicolás Otamendi,58.5,69.14285714285714,CB,83.5,72.16666666666667,56.125,65.0,183,76,33,12500000
Jan Vertonghen,67.0,51.0,CB,84.0,73.83333333333333,66.5,73.33333333333333,189,86,34,8500000
José Fonte,64.5,53.285714285714285,CB,83.5,73.0,49.0,63.333333333333336,191,84,37,4600000
Unai Núñez,51.5,66.14285714285714,CB,80.0,58.666666666666664,31.75,52.333333333333336,186,81,24,27000000
Alessandro Bastoni,70.0,68.28571428571429,CB,82.0,69.0,42.75,70.66666666666667,190,75,22,44500000
Boubacar Kamara,74.0,72.71428571428571,CB,78.5,72.83333333333333,54.75,73.66666666666667,184,68,21,31000000
Çağlar Söyüncü,68.0,71.28571428571429,CB,81.0,69.66666666666667,50.125,62.0,185,82,25,25000000
Tony Abranjes,57.5,74.0,CB,80.5,62.333333333333336,49.5,57.0,179,80,33,10000000
Gianluca Mancini,63.0,67.28571428571429,CB,79.5,67.0,46.75,47.666666666666664,190,77,25,26500000
Denis G.Garner,76.0,75.71428571428571,CB,81.5,78.0,56.375,73.0,191,81,24,30500000
Manuel Akanji,74.5,75.71428571428571,CB,82.0,69.0,54.25,67.0,187,91,26,25000000
Arqués,64.0,70.42857142857143,CB,82.5,69.0,56.125,65.33333333333333,182,79,26,23000000
Kieran Tierney,77.5,80.28571428571429,CB,77.0,76.16666666666667,58.0,75.66666666666667,178,70,24,31000000
Lukas Klostermann,72.0,76.14285714285714,CB,82.5,71.16666666666667,45.0,69.66666666666667,187,88,25,26500000
Victor Lindelöf,73.5,68.28571428571429,CB,81.5,75.66666666666667,57.125,73.66666666666667,187,80,27,23000000
Jason Denayer,71.0,77.42857142857143,CB,80.5,70.0,45.875,68.66666666666667,184,80,26,24500000
Michael Keane,66.5,65.71428571428571,CB,82.5,65.83333333333333,51.5,68.66666666666667,191,82,28,20000000
Tattevin Feddal,63.5,60.285714285714285,CB,82.5,68.0,51.75,69.66666666666667,192,84,31,14500000
Samuel Umtiti,68.5,68.57142857142857,CB,80.0,70.33333333333333,67.5,70.0,182,75,27,19500000
Martin Hinteregger,59.5,72.85714285714286,CB,82.0,74.33333333333333,68.875,68.33333333333333,184,83,29,18000000
Aïssa Mandi,70.0,70.28571428571429,CB,80.0,75.66666666666667,52.875,77.0,184,78,29,19500000
Bartra,74.0,73.85714285714286,CB,79.5,75.83333333333333,60.75,71.66666666666667,184,73,30,17500000
Rafael Tolói,62.0,70.57142857142857,CB,83.0,70.16666666666667,56.375,59.333333333333336,185,75,30,17500000
Angelo Ogbonna,62.0,62.857142857142854,CB,82.5,68.5,47.125,63.333333333333336,191,86,33,10000000
Diego Godín,62.5,66.0,CB,80.5,68.66666666666667,53.625,66.33333333333333,187,78,35,5500000
Medhi Benatia,61.5,68.0,CB,82.5,68.16666666666667,45.0,56.0,189,94,34,7000000
Jonny Evans,61.0,61.857142857142854,CB,84.0,68.83333333333333,41.875,63.666666666666664,188,77,33,10000000
Sven Botman,61.5,66.85714285714286,CB,80.5,66.66666666666667,43.25,61.666666666666664,193,81,21,25500000
Maxence Lacroix,64.5,74.71428571428571,CB,80.5,66.33333333333333,38.125,58.0,190,88,21,33000000
Teun Koopmeiners,73.0,72.0,CB,76.0,75.5,73.875,80.33333333333333,183,77,23,24500000
Lisandro Martínez,76.0,77.42857142857143,CB,81.0,76.0,60.0,75.33333333333333,178,77,23,25000000
Marcos Senesi,72.0,68.57142857142857,CB,82.5,67.66666666666667,40.875,67.0,183,78,24,25000000
Lucas Veríssimo,0.0,42.714285714285715,CB,79.5,26.5,43.75,35.666666666666664,188,77,26,23000000
Zubeldia,74.0,74.0,CB,80.0,76.66666666666667,64.875,75.0,181,73,24,24000000
Fikayo Tomori,62.5,76.28571428571429,CB,81.0,64.33333333333333,41.75,62.0,185,79,23,25000000
Gabriel,59.0,63.57142857142857,CB,80.5,69.16666666666667,42.0,61.333333333333336,190,87,23,24000000
Aritz Elustondo,62.0,68.0,CB,78.5,61.5,44.25,68.0,180,71,27,18500000
Eric Bailly,66.0,70.85714285714286,CB,78.0,70.33333333333333,48.875,59.666666666666664,186,77,27,17500000
Ramy Bensebaini,77.5,72.57142857142857,CB,75.5,73.0,62.625,75.0,186,82,26,21000000
Adam Marušić,75.5,79.0,CB,74.5,70.33333333333333,67.25,67.33333333333333,185,85,28,16000000
Nico Elvedi,69.5,71.57142857142857,CB,80.5,68.0,43.125,65.33333333333333,189,81,25,22500000
Davinson Sánchez,66.0,70.14285714285714,CB,79.0,66.5,44.75,58.666666666666664,187,79,25,19500000
Strand Nilsen Mina,61.5,56.142857142857146,CB,39.5,68.33333333333333,52.125,62.666666666666664,195,94,27,19000000
Armando Izzo,64.5,71.42857142857143,CB,82.5,60.166666666666664,40.125,53.666666666666664,183,81,29,16000000
Chancel Mbemba,64.0,73.42857142857143,CB,80.0,67.16666666666667,46.75,62.666666666666664,182,82,27,20500000
Berat Djimsiti,51.0,61.42857142857143,CB,82.5,71.5,42.5,63.0,190,83,28,15000000
Ben Davies,76.5,70.71428571428571,CB,79.5,72.33333333333333,57.875,76.66666666666667,182,76,28,16000000
Álvaro,56.5,70.42857142857143,CB,41.0,40.333333333333336,42.625,64.33333333333333,182,75,31,
Willy Boly,66.5,66.28571428571429,CB,79.5,69.16666666666667,43.25,66.66666666666667,195,97,30,14500000
Eric Dier,68.5,58.714285714285715,CB,78.5,72.33333333333333,69.625,70.0,190,90,27,17500000
Conor Coady,70.5,61.42857142857143,CB,81.0,71.5,61.875,77.66666666666667,186,80,28,17500000
Danilo D'Ambrosio,70.0,74.85714285714286,CB,80.0,72.0,62.25,70.33333333333333,180,75,33,11500000
Germán,59.5,57.0,CB,81.0,65.5,40.875,60.666666666666664,187,82,34,5500000
Nemanja Gudelj,72.5,66.42857142857143,CB,75.0,75.83333333333333,74.375,78.33333333333333,187,73,29,15000000
Ben Mee,61.0,69.71428571428571,CB,81.0,69.5,45.125,60.0,180,82,32,12000000
Aaron Cresswell,76.5,73.42857142857143,CB,78.0,71.33333333333333,64.875,76.33333333333333,175,66,31,12500000
P. Parra M'Vila,75.5,69.85714285714286,CB,75.5,76.5,65.0,74.33333333333333,182,80,31,12500000
Dan-Axel Joe Zohera,51.5,58.714285714285715,CB,81.5,65.33333333333333,38.875,65.0,196,90,22,20500000
Ibrahima Konaté,68.0,67.71428571428571,CB,80.5,64.66666666666667,38.75,60.666666666666664,194,95,22,29500000
Luiz Felipe,70.0,66.85714285714286,CB,80.0,64.16666666666667,38.5,63.666666666666664,187,80,24,26000000
Edson Álvarez,65.0,73.0,CB,79.5,70.66666666666667,55.5,70.0,187,73,23,20500000
Domingos Duarte,56.0,57.857142857142854,CB,79.5,64.83333333333333,39.625,62.666666666666664,190,78,26,17500000
Robin Le Normand,59.5,64.14285714285714,CB,79.5,54.333333333333336,34.625,58.0,187,81,24,19000000
Vincente Dourado,60.0,64.85714285714286,CB,77.0,65.5,36.125,69.33333333333333,190,88,25,13500000
Antônio Chiamuloira,53.0,67.0,CB,79.5,64.16666666666667,54.375,65.0,182,79,21,14500000
Florian Grillitsch,79.5,65.57142857142857,CB,72.5,74.0,57.75,78.0,187,77,26,18500000
Ezri Konsa,71.5,62.0,CB,79.0,69.66666666666667,43.75,65.66666666666667,183,77,23,20000000
Abdou Diallo,76.5,75.28571428571429,CB,77.5,73.83333333333333,45.125,74.33333333333333,187,79,25,17500000
David García,68.0,29.428571428571427,CB,77.5,66.66666666666667,42.625,70.33333333333333,185,72,27,16000000
Duje Ćaleta-Car,63.0,66.71428571428571,CB,79.0,72.0,41.5,61.333333333333336,192,89,25,19000000
Marvin Friedrich,52.0,65.0,CB,82.0,64.5,43.625,59.333333333333336,192,81,25,15500000
Samuel Gigot,60.0,69.28571428571429,CB,78.5,67.5,43.375,70.33333333333333,187,83,28,15000000
Sequeira,73.5,71.85714285714286,CB,77.0,66.66666666666667,65.5,75.66666666666667,184,79,31,12000000
Carlos Izquierdoz,55.5,62.857142857142854,CB,79.0,60.166666666666664,54.875,60.333333333333336,185,88,32,9000000
Jonathan Tah,58.0,63.714285714285715,CB,81.0,64.16666666666667,35.875,56.0,195,98,25,17500000
Tyrone Mings,67.5,67.28571428571429,CB,78.5,70.66666666666667,48.25,72.66666666666667,196,77,28,14000000
Marcel Halstenberg,73.0,70.28571428571429,CB,77.0,71.5,71.5,73.0,188,87,30,12000000
Nathan Aké,70.5,76.0,CB,80.5,70.33333333333333,58.625,71.0,180,75,26,16500000
Clinton Mata,74.0,82.0,CB,76.5,73.0,63.125,68.0,180,73,28,12500000
Romain Saïss,0.0,66.57142857142857,CB,79.0,59.333333333333336,57.25,70.0,188,84,31,9500000
